num,name,category,block,block2,will,rank,pros,NP,CSR,M,C,T,i,,,
1,复星医药,医药,沪市主板,主板,应规,AA+,稳定,"3,019.88 ",87.00 ,26.25 ,39.20 ,14.41 ,7.14 ,,,
2,中国平安,金融,沪市主板,主板,应规,AA,稳定,"120,452.00 ",85.52 ,26.25 ,39.02 ,12.43 ,7.81 ,,,
3,中国建筑,建筑业,沪市主板,主板,应规,AA,稳定,"38,240.00 ",84.17 ,25.55 ,35.86 ,14.01 ,8.75 ,,,
4,招商银行,金融,沪市主板,主板,应规,AA,稳定,"80,819.00 ",82.59 ,24.61 ,37.79 ,12.53 ,7.66 ,,,
5,农业银行,金融,沪市主板,主板,应规,AA,稳定,"202,631.00 ",82.56 ,24.84 ,37.09 ,13.13 ,7.50 ,,,
6,营口港,交通运输,沪市主板,主板,自愿,AA,积极,"1,001.00 ",82.16 ,14.53 ,16.35 ,8.09 ,43.19 ,,,
7,兴业银行,金融,沪市主板,主板,应规,AA,稳定,"60,620.00 ",81.09 ,26.72 ,35.51 ,11.05 ,7.81 ,,,
8,工商银行,金融,沪市主板,主板,应规,AA,稳定,"298,700.00 ",80.60 ,25.08 ,34.98 ,12.73 ,7.81 ,,,
9,中国中冶,建筑业,沪市主板,主板,应规,AA,稳定,未披露,80.08 ,24.61 ,36.91 ,12.43 ,6.13 ,,,
10,交通银行,金融,沪市主板,主板,应规,AA,稳定,"73,630.00 ",78.88 ,23.67 ,34.98 ,12.73 ,7.50 ,,,
11,京东方A,信息技术业,深市主板,主板,应规,AA,稳定,未披露,78.53 ,23.67 ,36.39 ,10.66 ,7.81 ,,,
12,招商蛇口,房地产业,深市主板,主板,应规,AA,稳定,"19,460.00 ",77.75 ,25.55 ,35.68 ,14.11 ,2.40 ,,,
13,东方航空,交通运输,沪市主板,主板,应规,AA,稳定,未披露,77.63 ,23.67 ,33.22 ,14.01 ,6.72 ,,,
14,浦发银行,金融,沪市主板,主板,应规,AA,积极,未披露,77.62 ,23.67 ,35.51 ,11.25 ,7.19 ,,,
15,万科A,房地产业,深市主板,主板,应规,AA,稳定,未披露,76.54 ,25.55 ,33.75 ,12.34 ,4.90 ,,,
16,中国神华,采掘业,沪市主板,主板,应规,AA-,稳定,438.67 ,74.49 ,22.03 ,34.28 ,14.01 ,4.17 ,,,
17,中国人保,金融,沪市主板,主板,自愿,AA-,稳定,"19,499.00 ",74.27 ,22.73 ,34.80 ,10.95 ,5.78 ,,,
18,东方证券,金融,沪市主板,主板,应规,AA-,积极,未披露,73.93 ,22.97 ,33.40 ,10.07 ,7.50 ,,,
19,中国中铁,建筑业,沪市主板,主板,应规,AA-,稳定,"17,200.00 ",73.44 ,23.20 ,32.34 ,12.14 ,5.75 ,,,
20,建设银行,金融,沪市主板,主板,应规,AA-,积极,"255,666.00 ",73.39 ,22.03 ,34.10 ,11.94 ,5.31 ,,,
21,上港集团,交通运输,沪市主板,主板,应规,AA-,稳定,"10,276.00 ",73.25 ,22.27 ,32.52 ,13.62 ,4.84 ,,,
22,中国联通,信息技术业,沪市主板,主板,应规,AA-,积极,未披露,73.00 ,21.56 ,33.57 ,10.36 ,7.50 ,,,
23,环旭电子,电子业,沪市主板,主板,应规,AA-,稳定,"1,179.97 ",72.93 ,21.56 ,35.86 ,11.55 ,3.96 ,,,
24,中远海控,交通运输,沪市主板,主板,应规,AA-,积极,"3,026.00 ",72.75 ,21.56 ,33.22 ,13.13 ,4.84 ,,,
25,中兴通讯,电子业,深市主板,主板,应规,AA-,稳定,"-6,983.70 ",72.74 ,21.80 ,33.57 ,13.62 ,3.75 ,,,
26,白云山,医药,沪市主板,主板,应规,AA-,稳定,"3,400.00 ",72.64 ,21.80 ,30.76 ,13.03 ,7.05 ,,,
27,中国太保,金融,沪市主板,主板,应规,AA-,稳定,"18,019.00 ",72.07 ,22.73 ,33.93 ,9.47 ,5.94 ,,,
28,华夏银行,金融,沪市主板,主板,应规,A+,消极,"20,990.00 ",71.86 ,22.50 ,31.99 ,11.74 ,5.63 ,,,
29,中国交建,建筑业,沪市主板,主板,应规,A+,消极,未披露,71.37 ,22.73 ,30.41 ,11.35 ,6.88 ,,,
30,烽火通信,信息技术业,沪市主板,主板,应规,A+,稳定,未披露,71.12 ,22.03 ,32.34 ,9.87 ,6.88 ,,,
31,太钢不锈,金属,深市主板,主板,自愿,A+,稳定,"4,977.00 ",71.03 ,21.80 ,32.52 ,10.46 ,6.25 ,,,
32,广州发展,电力,沪市主板,主板,应规,A+,消极,701.01 ,70.95 ,21.56 ,31.46 ,12.93 ,5.00 ,,,
33,南方航空,交通运输,沪市主板,主板,应规,A+,稳定,未披露,70.73 ,20.86 ,31.11 ,12.04 ,6.72 ,,,
34,云南白药,医药,深市主板,主板,应规,A+,消极,"3,307.00 ",70.37 ,22.73 ,31.29 ,12.24 ,4.11 ,,,
